tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2012-747,Beijing,Hard,32,A,20121001,5,105657,,WC,Marius Copil,R,193.0,ROU,21.9575633128,221.0,220.0,105227,4.0,,Marin Cilic,R,198.0,CRO,24.0082135524,13.0,2455.0,3-6 7-6(0) 6-4,3,R32,146.0,21.0,4.0,102.0,62.0,46.0,15.0,15.0,7.0,11.0,6.0,3.0,93.0,50.0,33.0,23.0,16.0,2.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105657,105227,True,False
2012-747,Beijing,Hard,32,A,20121001,6,104252,,,Florian Mayer,R,190.0,GER,28.9911019849,29.0,1295.0,104926,,,Fabio Fognini,R,178.0,ITA,25.3579739904,47.0,895.0,6-1 6-2,3,R32,52.0,4.0,2.0,43.0,18.0,14.0,19.0,8.0,0.0,0.0,1.0,4.0,40.0,26.0,13.0,5.0,7.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104926,104252,False,True
2012-747,Beijing,Hard,32,A,20121001,7,105585,,WC,Ze Zhang,R,,CHN,22.2450376454,165.0,306.0,105842,,WC,Di Wu,R,,CHN,21.0485968515,176.0,273.0,6-4 6-1,3,R32,78.0,5.0,4.0,47.0,23.0,18.0,12.0,8.0,2.0,4.0,0.0,3.0,67.0,34.0,17.0,14.0,9.0,5.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105585,105842,True,False
2012-747,Beijing,Hard,32,A,20121001,8,104755,5.0,,Richard Gasquet,R,185.0,FRA,26.288843258,14.0,2370.0,105051,,Q,Matthew Ebden,R,188.0,AUS,24.848733744,61.0,723.0,6-2 6-4,3,R32,81.0,5.0,1.0,48.0,28.0,24.0,11.0,9.0,2.0,3.0,6.0,5.0,64.0,33.0,23.0,10.0,9.0,4.0,8.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105051,104755,False,True
2012-747,Beijing,Hard,32,A,20121001,9,104022,,,Mikhail Youzhny,R,183.0,RUS,30.2696783025,28.0,1335.0,103163,7.0,,Tommy Haas,R,188.0,GER,34.4969199179,21.0,1553.0,6-4 4-6 6-2,3,R32,143.0,9.0,2.0,99.0,59.0,42.0,19.0,14.0,8.0,10.0,5.0,10.0,96.0,54.0,41.0,15.0,14.0,10.0,14.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103163,104022,False,True
2012-747,Beijing,Hard,32,A,20121001,10,104731,,,Kevin Anderson,R,203.0,RSA,26.3737166324,36.0,1030.0,104548,,Q,Brian Baker,R,190.0,USA,27.4223134839,62.0,707.0,5-7 6-3 6-1,3,R32,116.0,19.0,3.0,74.0,44.0,36.0,18.0,14.0,1.0,3.0,5.0,3.0,92.0,55.0,33.0,19.0,14.0,6.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104548,104731,False,True
2012-747,Beijing,Hard,32,A,20121001,11,103786,,,Nikolay Davydenko,R,178.0,RUS,31.3319644079,43.0,930.0,104166,,Q,Alex Bogomolov Jr,R,178.0,RUS,29.4428473648,92.0,575.0,7-5 6-1,3,R32,102.0,2.0,0.0,65.0,49.0,30.0,6.0,9.0,4.0,7.0,2.0,4.0,83.0,53.0,26.0,12.0,10.0,9.0,16.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104166,103786,False,True
2012-747,Beijing,Hard,32,A,20121001,12,104542,3.0,,Jo Wilfried Tsonga,R,188.0,FRA,27.4579055441,7.0,4520.0,104797,,,Denis Istomin,R,188.0,UZB,26.0670773443,45.0,902.0,4-6 6-1 7-6(3),3,R32,117.0,14.0,4.0,97.0,57.0,47.0,24.0,15.0,5.0,6.0,9.0,2.0,85.0,53.0,40.0,19.0,14.0,3.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104797,104542,False,True
2012-747,Beijing,Hard,32,A,20121001,13,105023,,,Sam Querrey,R,198.0,USA,24.9856262834,26.0,1440.0,104269,8.0,,Fernando Verdasco,L,188.0,ESP,28.8788501027,23.0,1525.0,5-7 6-3 6-4,3,R32,117.0,10.0,6.0,95.0,51.0,43.0,24.0,16.0,6.0,7.0,3.0,3.0,79.0,51.0,41.0,16.0,15.0,0.0,2.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,105023,104269,True,False
2012-747,Beijing,Hard,32,A,20121001,14,104312,,,Andreas Seppi,R,190.0,ITA,28.6105407255,25.0,1495.0,103898,,,Julien Benneteau,R,185.0,FRA,30.7816563997,33.0,1205.0,6-1 2-0 RET,3,R32,33.0,1.0,0.0,34.0,20.0,13.0,9.0,5.0,4.0,5.0,0.0,2.0,26.0,16.0,5.0,3.0,4.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103898,104312,False,True
