tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2013-605,Tour Finals,Hard,8,F,20131104,9,105223,4.0,,Juan Martin Del Potro,R,198.0,ARG,25.1143052704,5.0,5055.0,104755,8.0,,Richard Gasquet,R,185.0,FRA,27.3812457221,9.0,3300.0,6-7(4) 6-3 7-5,3,RR,144.0,5.0,4.0,93.0,57.0,45.0,19.0,17.0,1.0,3.0,7.0,3.0,105.0,63.0,43.0,22.0,16.0,7.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,10,103819,6.0,,Roger Federer,R,185.0,SUI,32.2409308693,7.0,3805.0,104755,8.0,,Richard Gasquet,R,185.0,FRA,27.3812457221,9.0,3300.0,6-4 6-3,3,RR,82.0,6.0,1.0,64.0,48.0,33.0,9.0,9.0,5.0,6.0,0.0,3.0,67.0,40.0,21.0,15.0,10.0,7.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,11,104607,5.0,,Tomas Berdych,R,196.0,CZE,28.1314168378,6.0,3980.0,103970,3.0,,David Ferrer,R,175.0,ESP,31.5920602327,3.0,5800.0,6-4 6-4,3,RR,84.0,10.0,2.0,52.0,30.0,29.0,12.0,10.0,0.0,0.0,1.0,1.0,65.0,34.0,23.0,19.0,10.0,7.0,9.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,12,104527,7.0,,Stanislas Wawrinka,R,183.0,SUI,28.605065024,8.0,3330.0,103970,3.0,,David Ferrer,R,175.0,ESP,31.5920602327,3.0,5800.0,6-7(3) 6-4 6-1,3,RR,139.0,14.0,2.0,102.0,58.0,41.0,21.0,14.0,6.0,8.0,0.0,4.0,95.0,52.0,33.0,21.0,15.0,1.0,7.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,13,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.4558521561,2.0,10610.0,104527,7.0,,Stanislas Wawrinka,R,183.0,SUI,28.605065024,8.0,3330.0,6-3 6-3,3,SF,85.0,2.0,0.0,49.0,33.0,24.0,12.0,9.0,2.0,3.0,4.0,0.0,62.0,34.0,21.0,11.0,9.0,6.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2013-605,Tour Finals,Hard,8,F,20131104,14,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4223134839,1.0,12030.0,103819,6.0,,Roger Federer,R,185.0,SUI,32.2409308693,7.0,3805.0,7-5 6-3,3,SF,80.0,2.0,0.0,56.0,43.0,32.0,9.0,10.0,3.0,4.0,6.0,1.0,59.0,39.0,27.0,8.0,11.0,0.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2013-605,Tour Finals,Hard,8,F,20131104,15,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.4558521561,2.0,10610.0,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4223134839,1.0,12030.0,6-3 6-4,3,F,96.0,6.0,0.0,58.0,38.0,26.0,14.0,10.0,2.0,3.0,1.0,4.0,61.0,45.0,26.0,8.0,9.0,8.0,11.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,1,105292,5.0,,Alejandro Gonzalez,R,,COL,24.758384668,107.0,522.0,103835,2.0,,Filippo Volandri,R,183.0,ITA,32.1834360027,90.0,593.0,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,2,105292,5.0,,Alejandro Gonzalez,R,,COL,24.758384668,107.0,522.0,104619,4.0,,Jesse Huta Galung,R,188.0,NED,28.0985626283,106.0,536.0,6-3 2-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,3,105292,5.0,,Alejandro Gonzalez,R,,COL,24.758384668,107.0,522.0,105413,7.0,,Andrej Martin,R,180.0,SVK,24.1423682409,126.0,443.0,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,4,103835,2.0,,Filippo Volandri,R,183.0,ITA,32.1834360027,90.0,593.0,104619,4.0,,Jesse Huta Galung,R,188.0,NED,28.0985626283,106.0,536.0,4-6 7-6(5) 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,5,103835,2.0,,Filippo Volandri,R,183.0,ITA,32.1834360027,90.0,593.0,105413,7.0,,Andrej Martin,R,180.0,SVK,24.1423682409,126.0,443.0,6-0 6-4,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,6,104559,1.0,,Teymuraz Gabashvili,R,188.0,RUS,28.4709103354,84.0,610.0,104873,3.0,,Aleksandr Nedovyesov,R,,KAZ,26.7378507871,96.0,564.0,4-6 6-3 6-1,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,7,104873,3.0,,Aleksandr Nedovyesov,R,,KAZ,26.7378507871,96.0,564.0,104494,6.0,,Adrian Ungur,R,178.0,ROU,28.7939767283,108.0,519.0,6-4 5-7 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,8,104873,3.0,,Aleksandr Nedovyesov,R,,KAZ,26.7378507871,96.0,564.0,106105,8.0,WC,Guilherme Clezar,R,,BRA,20.8624229979,159.0,325.0,6-4 5-7 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,9,104559,1.0,,Teymuraz Gabashvili,R,188.0,RUS,28.4709103354,84.0,610.0,104494,6.0,,Adrian Ungur,R,178.0,ROU,28.7939767283,108.0,519.0,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,10,104494,6.0,,Adrian Ungur,R,178.0,ROU,28.7939767283,108.0,519.0,106105,8.0,WC,Guilherme Clezar,R,,BRA,20.8624229979,159.0,325.0,6-3 7-5,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,11,106105,8.0,WC,Guilherme Clezar,R,,BRA,20.8624229979,159.0,325.0,104559,1.0,,Teymuraz Gabashvili,R,188.0,RUS,28.4709103354,84.0,610.0,5-7 6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,12,104619,4.0,,Jesse Huta Galung,R,188.0,NED,28.0985626283,106.0,536.0,105413,7.0,,Andrej Martin,R,180.0,SVK,24.1423682409,126.0,443.0,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,13,105292,5.0,,Alejandro Gonzalez,R,,COL,24.758384668,107.0,522.0,104873,3.0,,Aleksandr Nedovyesov,R,,KAZ,26.7378507871,96.0,564.0,6-3 6-7(4) 6-0,3,SF,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,14,103835,2.0,,Filippo Volandri,R,183.0,ITA,32.1834360027,90.0,593.0,104559,1.0,,Teymuraz Gabashvili,R,188.0,RUS,28.4709103354,84.0,610.0,7-5 2-6 6-4,3,SF,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-6406,ATP Challenger Tour Finals CH,Clay,8,C,20131111,15,103835,2.0,,Filippo Volandri,R,183.0,ITA,32.1834360027,90.0,593.0,105292,5.0,,Alejandro Gonzalez,R,,COL,24.758384668,107.0,522.0,4-6 6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-D001,Davis Cup WG R1: CAN vs ESP,Hard,4,D,20130201,1,105683,,,Milos Raonic,R,196.0,CAN,22.0889801506,15.0,2265.0,105077,,,Albert Ramos,L,188.0,ESP,25.0321697467,51.0,830.0,6-7(5) 6-4 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-D001,Davis Cup WG R1: CAN vs ESP,Hard,4,D,20130201,2,104433,,,Frank Dancevic,R,185.0,CAN,28.3394934976,166.0,335.0,104719,,,Marcel Granollers,R,190.0,ESP,26.7980835044,34.0,1125.0,6-1 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-D001,Davis Cup WG R1: CAN vs ESP,Hard,4,D,20130201,3,105683,,,Milos Raonic,R,196.0,CAN,22.0889801506,15.0,2265.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,29.6536618754,82.0,624.0,6-3 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
