tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2
2003-317,Amersfoort,Clay,32,A,20030714,7,104527,,Q,Stanislas Wawrinka,R,183.0,SUI,18.2943189596,348.0,79.0,103204,,Q,Hugo Armando,R,183.0,USA,25.1307323751,304.0,95.0,6-4 6-4,3,R32,78.0,5.0,3.0,72.0,49.0,39.0,9.0,10.0,5.0,5.0,0.0,0.0,61.0,48.0,29.0,9.0,10.0,3.0,5.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,104527,103204
2003-317,Amersfoort,Clay,32,A,20030714,8,103171,6.0,,Raemon Sluiter,R,185.0,NED,25.2511978097,72.0,580.0,102565,,,Alexander Waske,R,188.0,GER,28.2874743326,129.0,296.0,6-4 6-3,3,R32,64.0,11.0,1.0,50.0,33.0,28.0,13.0,10.0,1.0,1.0,11.0,1.0,67.0,38.0,27.0,15.0,9.0,6.0,8.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103171,102565
2003-317,Amersfoort,Clay,32,A,20030714,9,103454,7.0,,Nicolas Massu,R,183.0,CHI,23.7590691307,73.0,574.0,102271,,,Hicham Arazi,L,175.0,MAR,29.7330595483,83.0,483.0,4-6 6-4 7-6(6),3,R32,179.0,5.0,5.0,106.0,56.0,39.0,22.0,16.0,4.0,9.0,9.0,4.0,105.0,65.0,47.0,13.0,16.0,3.0,8.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,102271,103454
2003-317,Amersfoort,Clay,32,A,20030714,10,102987,,,Andre Sa,R,185.0,BRA,26.1875427789,134.0,286.0,103711,,Q,Jaroslav Levinsky,R,196.0,CZE,22.417522245,403.0,64.0,6-2 4-6 7-6(2),3,R32,133.0,5.0,5.0,122.0,79.0,54.0,20.0,15.0,10.0,14.0,1.0,3.0,106.0,76.0,46.0,13.0,15.0,11.0,16.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103711,102987
2003-317,Amersfoort,Clay,32,A,20030714,11,102615,,WC,Dennis Van Scheppingen,R,185.0,NED,28.0246406571,152.0,253.0,103789,,,Irakli Labadze,L,188.0,GEO,22.0944558522,116.0,337.0,7-6(3) 1-0 RET,3,R32,50.0,5.0,7.0,57.0,37.0,27.0,9.0,7.0,3.0,4.0,3.0,3.0,38.0,24.0,16.0,7.0,6.0,1.0,2.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,103789,102615
2003-317,Amersfoort,Clay,32,A,20030714,12,102644,9.0,,Franco Squillari,L,183.0,ARG,27.8932238193,82.0,494.0,103318,,,Zeljko Krajan,R,178.0,CRO,24.4407939767,124.0,309.0,6-3 1-0 RET,3,R32,49.0,1.0,2.0,43.0,21.0,16.0,7.0,5.0,2.0,4.0,1.0,2.0,25.0,12.0,6.0,3.0,5.0,0.0,4.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102644,103318
2003-317,Amersfoort,Clay,32,A,20030714,13,103632,,,Luis Horna,R,180.0,PER,22.8281998631,105.0,358.0,102287,8.0,,Albert Portas,R,188.0,ESP,29.659137577,90.0,464.0,6-3 7-5,3,R32,100.0,3.0,4.0,70.0,39.0,27.0,16.0,10.0,7.0,9.0,5.0,4.0,78.0,44.0,24.0,15.0,11.0,6.0,11.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103632,102287
2003-317,Amersfoort,Clay,32,A,20030714,14,103294,,,Christophe Rochus,R,170.0,BEL,24.5776865161,89.0,471.0,104019,,,Kristof Vliegen,R,193.0,BEL,21.0595482546,106.0,355.0,6-4 4-6 7-5,3,R32,114.0,2.0,4.0,85.0,62.0,42.0,14.0,16.0,2.0,6.0,2.0,4.0,111.0,78.0,49.0,16.0,16.0,15.0,20.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,104019,103294
2003-317,Amersfoort,Clay,32,A,20030714,15,103169,,Q,Oscar Hernandez,R,180.0,ESP,25.2594113621,139.0,275.0,103699,,WC,Fred Hemmes,R,183.0,NED,22.4558521561,259.0,119.0,6-1 6-1,3,R32,56.0,2.0,0.0,41.0,26.0,19.0,8.0,7.0,1.0,2.0,1.0,5.0,40.0,22.0,8.0,6.0,7.0,1.0,7.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103169,103699
2003-317,Amersfoort,Clay,32,A,20030714,16,103444,,,Jean Rene Lisnard,R,173.0,MON,23.8001368925,96.0,413.0,103292,2.0,,Gaston Gaudio,R,175.0,ARG,24.5941136208,30.0,1060.0,6-0 7-6(5),3,R32,99.0,1.0,3.0,61.0,31.0,23.0,15.0,9.0,3.0,5.0,0.0,4.0,70.0,44.0,25.0,10.0,9.0,3.0,8.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103444,103292
